1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
157696,000000	255,873047
158720,000000	256,029766
159744,000000	256,504219
160768,000000	256,692969
161792,000000	256,959922
162816,000000	257,194453
163840,000000	257,426484
164864,000000	257,727812
165888,000000	257,982031
166912,000000	258,123906
167936,000000	258,262187
168960,000000	258,429375
169984,000000	258,722813
171008,000000	258,913203
172032,000000	259,098281
173056,000000	259,319531
174080,000000	259,362031
175104,000000	259,575078
176128,000000	259,784219
177152,000000	259,967500
178176,000000	260,119531
179200,000000	260,252109
180224,000000	260,397813
181248,000000	260,576875
182272,000000	260,700312
183296,000000	260,957266
184320,000000	261,167734
185344,000000	261,017344
186368,000000	261,381172
187392,000000	261,440000
188416,000000	261,487578
189440,000000	261,650859
190464,000000	261,757656
191488,000000	261,911719
192512,000000	261,988516
193536,000000	261,992344
194560,000000	262,099922
195584,000000	262,408750
196608,000000	262,534062
197632,000000	262,607656
198656,000000	262,701484
199680,000000	262,728828
200704,000000	262,892266
201728,000000	262,777656
202752,000000	262,876016
203776,000000	263,094219
204800,000000	263,220859
205824,000000	263,134141
206848,000000	263,247031
207872,000000	263,375547
208896,000000	263,571563
209920,000000	263,477031
210944,000000	263,543359
211968,000000	263,619219
212992,000000	263,613672
214016,000000	263,793906
215040,000000	263,947266
216064,000000	263,834062
217088,000000	264,010625
218112,000000	263,878125
219136,000000	264,012656
220160,000000	264,007578
221184,000000	264,140234
222208,000000	264,130000
223232,000000	264,255703
224256,000000	264,207734
225280,000000	264,307344
226304,000000	264,377266
227328,000000	264,450156
228352,000000	264,586797
229376,000000	264,675937
230400,000000	264,643438
231424,000000	264,883984
232448,000000	264,720469
233472,000000	264,896406
234496,000000	264,934766
235520,000000	265,052109
236544,000000	265,068359
237568,000000	265,139687
238592,000000	265,175703
239616,000000	265,116016
240640,000000	265,180938
241664,000000	265,151563
242688,000000	265,336328
243712,000000	265,309453
244736,000000	265,282969
245760,000000	265,324375
246784,000000	265,380703
247808,000000	265,619844
248832,000000	265,419062
249856,000000	265,369141
250880,000000	265,400469
251904,000000	265,707500
252928,000000	265,517500
253952,000000	265,632500
254976,000000	265,582500
256000,000000	265,733359
257024,000000	265,587422
258048,000000	265,671953
259072,000000	265,509297
260096,000000	265,748203
